start_id,end_id,relationship_type,direction
4134,GO:0008092,participates,both
2036,GO:0008092,participates,both
10097,GO:0008092,participates,both
55435,GO:0008092,participates,both
23336,GO:0008092,participates,both
55231,GO:0008092,participates,both
642273,GO:0008092,participates,both
54869,GO:0008092,participates,both
4983,GO:0008092,participates,both
7408,GO:0008092,participates,both
51361,GO:0008092,participates,both
165904,GO:0008092,participates,both
7461,GO:0008092,participates,both
6624,GO:0008092,participates,both
84665,GO:0008092,participates,both
5520,GO:0008092,participates,both
56907,GO:0008092,participates,both
57159,GO:0008092,participates,both
55755,GO:0008092,participates,both
51734,GO:0008092,participates,both
2317,GO:0008092,participates,both
57619,GO:0008092,participates,both
4133,GO:0008092,participates,both
7138,GO:0008092,participates,both
11034,GO:0008092,participates,both
339451,GO:0008092,participates,both
3746,GO:0008092,participates,both
25924,GO:0008092,participates,both
10982,GO:0008092,participates,both
5962,GO:0008092,participates,both
5304,GO:0008092,participates,both
124783,GO:0008092,participates,both
27295,GO:0008092,participates,both
9928,GO:0008092,participates,both
25999,GO:0008092,participates,both
7137,GO:0008092,participates,both
29780,GO:0008092,participates,both
10006,GO:0008092,participates,both
64005,GO:0008092,participates,both
10890,GO:0008092,participates,both
257144,GO:0008092,participates,both
9501,GO:0008092,participates,both
23499,GO:0008092,participates,both
7287,GO:0008092,participates,both
55614,GO:0008092,participates,both
64098,GO:0008092,participates,both
54820,GO:0008092,participates,both
2339,GO:0008092,participates,both
3834,GO:0008092,participates,both
51086,GO:0008092,participates,both
22853,GO:0008092,participates,both
10163,GO:0008092,participates,both
7135,GO:0008092,participates,both
10083,GO:0008092,participates,both
57617,GO:0008092,participates,both
5756,GO:0008092,participates,both
4626,GO:0008092,participates,both
348,GO:0008092,participates,both
5864,GO:0008092,participates,both
51778,GO:0008092,participates,both
85456,GO:0008092,participates,both
3798,GO:0008092,participates,both
3753,GO:0008092,participates,both
6876,GO:0008092,participates,both
4771,GO:0008092,participates,both
28981,GO:0008092,participates,both
859,GO:0008092,participates,both
7533,GO:0008092,participates,both
79929,GO:0008092,participates,both
55582,GO:0008092,participates,both
5798,GO:0008092,participates,both
55327,GO:0008092,participates,both
9479,GO:0008092,participates,both
124590,GO:0008092,participates,both
7273,GO:0008092,participates,both
9857,GO:0008092,participates,both
324,GO:0008092,participates,both
6711,GO:0008092,participates,both
200845,GO:0008092,participates,both
56203,GO:0008092,participates,both
6844,GO:0008092,participates,both
3778,GO:0008092,participates,both
51474,GO:0008092,participates,both
1605,GO:0008092,participates,both
23636,GO:0008092,participates,both
4648,GO:0008092,participates,both
11076,GO:0008092,participates,both
1266,GO:0008092,participates,both
142678,GO:0008092,participates,both
10160,GO:0008092,participates,both
2932,GO:0008092,participates,both
11155,GO:0008092,participates,both
22924,GO:0008092,participates,both
11043,GO:0008092,participates,both
2633,GO:0008092,participates,both
808,GO:0008092,participates,both
91978,GO:0008092,participates,both
3936,GO:0008092,participates,both
585,GO:0008092,participates,both
140469,GO:0008092,participates,both
24137,GO:0008092,participates,both
3799,GO:0008092,participates,both
6521,GO:0008092,participates,both
4135,GO:0008092,participates,both
22919,GO:0008092,participates,both
5142,GO:0008092,participates,both
80306,GO:0008092,participates,both
29119,GO:0008092,participates,both
672,GO:0008092,participates,both
55607,GO:0008092,participates,both
1739,GO:0008092,participates,both
6386,GO:0008092,participates,both
27229,GO:0008092,participates,both
282973,GO:0008092,participates,both
10749,GO:0008092,participates,both
60312,GO:0008092,participates,both
4625,GO:0008092,participates,both
9832,GO:0008092,participates,both
91147,GO:0008092,participates,both
1108,GO:0008092,participates,both
58533,GO:0008092,participates,both
57519,GO:0008092,participates,both
8766,GO:0008092,participates,both
10018,GO:0008092,participates,both
57180,GO:0008092,participates,both
161514,GO:0008092,participates,both
135138,GO:0008092,participates,both
6102,GO:0008092,participates,both
23710,GO:0008092,participates,both
23394,GO:0008092,participates,both
653857,GO:0008092,participates,both
29993,GO:0008092,participates,both
752,GO:0008092,participates,both
1234,GO:0008092,participates,both
199953,GO:0008092,participates,both
7139,GO:0008092,participates,both
2521,GO:0008092,participates,both
644150,GO:0008092,participates,both
9231,GO:0008092,participates,both
252969,GO:0008092,participates,both
274,GO:0008092,participates,both
5048,GO:0008092,participates,both
84501,GO:0008092,participates,both
283446,GO:0008092,participates,both
51493,GO:0008092,participates,both
2258,GO:0008092,participates,both
29116,GO:0008092,participates,both
57530,GO:0008092,participates,both
2242,GO:0008092,participates,both
27131,GO:0008092,participates,both
10677,GO:0008092,participates,both
3797,GO:0008092,participates,both
4218,GO:0008092,participates,both
55605,GO:0008092,participates,both
7399,GO:0008092,participates,both
6249,GO:0008092,participates,both
3835,GO:0008092,participates,both
246176,GO:0008092,participates,both
54443,GO:0008092,participates,both
84056,GO:0008092,participates,both
93661,GO:0008092,participates,both
5358,GO:0008092,participates,both
9855,GO:0008092,participates,both
84951,GO:0008092,participates,both
81,GO:0008092,participates,both
10788,GO:0008092,participates,both
6645,GO:0008092,participates,both
4846,GO:0008092,participates,both
120,GO:0008092,participates,both
5217,GO:0008092,participates,both
51458,GO:0008092,participates,both
84700,GO:0008092,participates,both
347240,GO:0008092,participates,both
124602,GO:0008092,participates,both
9545,GO:0008092,participates,both
161176,GO:0008092,participates,both
23271,GO:0008092,participates,both
57111,GO:0008092,participates,both
3652,GO:0008092,participates,both
4628,GO:0008092,participates,both
51673,GO:0008092,participates,both
10398,GO:0008092,participates,both
221692,GO:0008092,participates,both
83660,GO:0008092,participates,both
6712,GO:0008092,participates,both
5914,GO:0008092,participates,both
286527,GO:0008092,participates,both
27185,GO:0008092,participates,both
81551,GO:0008092,participates,both
4926,GO:0008092,participates,both
26056,GO:0008092,participates,both
26146,GO:0008092,participates,both
5195,GO:0008092,participates,both
8735,GO:0008092,participates,both
57698,GO:0008092,participates,both
4635,GO:0008092,participates,both
5873,GO:0008092,participates,both
55742,GO:0008092,participates,both
440738,GO:0008092,participates,both
675,GO:0008092,participates,both
7145,GO:0008092,participates,both
399687,GO:0008092,participates,both
10174,GO:0008092,participates,both
55364,GO:0008092,participates,both
5829,GO:0008092,participates,both
2039,GO:0008092,participates,both
23637,GO:0008092,participates,both
26258,GO:0008092,participates,both
4690,GO:0008092,participates,both
91010,GO:0008092,participates,both
4650,GO:0008092,participates,both
10529,GO:0008092,participates,both
54751,GO:0008092,participates,both
84676,GO:0008092,participates,both
8440,GO:0008092,participates,both
5357,GO:0008092,participates,both
9026,GO:0008092,participates,both
85477,GO:0008092,participates,both
23122,GO:0008092,participates,both
54899,GO:0008092,participates,both
4137,GO:0008092,participates,both
10810,GO:0008092,participates,both
5874,GO:0008092,participates,both
29999,GO:0008092,participates,both
84376,GO:0008092,participates,both
302,GO:0008092,participates,both
7170,GO:0008092,participates,both
103910,GO:0008092,participates,both
6786,GO:0008092,participates,both
80206,GO:0008092,participates,both
10565,GO:0008092,participates,both
10391,GO:0008092,participates,both
6744,GO:0008092,participates,both
54462,GO:0008092,participates,both
92558,GO:0008092,participates,both
83543,GO:0008092,participates,both
5216,GO:0008092,participates,both
84251,GO:0008092,participates,both
9702,GO:0008092,participates,both
5898,GO:0008092,participates,both
81873,GO:0008092,participates,both
83715,GO:0008092,participates,both
1729,GO:0008092,participates,both
146909,GO:0008092,participates,both
79778,GO:0008092,participates,both
11275,GO:0008092,participates,both
4131,GO:0008092,participates,both
64837,GO:0008092,participates,both
2483,GO:0008092,participates,both
6337,GO:0008092,participates,both
4653,GO:0008092,participates,both
24139,GO:0008092,participates,both
51517,GO:0008092,participates,both
29127,GO:0008092,participates,both
114793,GO:0008092,participates,both
6622,GO:0008092,participates,both
10096,GO:0008092,participates,both
9223,GO:0008092,participates,both
1785,GO:0008092,participates,both
85378,GO:0008092,participates,both
92154,GO:0008092,participates,both
22948,GO:0008092,participates,both
282991,GO:0008092,participates,both
23281,GO:0008092,participates,both
88,GO:0008092,participates,both
1062,GO:0008092,participates,both
58529,GO:0008092,participates,both
4644,GO:0008092,participates,both
6903,GO:0008092,participates,both
11252,GO:0008092,participates,both
29881,GO:0008092,participates,both
23303,GO:0008092,participates,both
83988,GO:0008092,participates,both
22921,GO:0008092,participates,both
57669,GO:0008092,participates,both
7134,GO:0008092,participates,both
9371,GO:0008092,participates,both
1265,GO:0008092,participates,both
57477,GO:0008092,participates,both
2035,GO:0008092,participates,both
23500,GO:0008092,participates,both
23172,GO:0008092,participates,both
57576,GO:0008092,participates,both
23224,GO:0008092,participates,both
776,GO:0008092,participates,both
643246,GO:0008092,participates,both
80115,GO:0008092,participates,both
5970,GO:0008092,participates,both
1773,GO:0008092,participates,both
4634,GO:0008092,participates,both
51203,GO:0008092,participates,both
8470,GO:0008092,participates,both
10458,GO:0008092,participates,both
55207,GO:0008092,participates,both
57591,GO:0008092,participates,both
23542,GO:0008092,participates,both
57662,GO:0008092,participates,both
1072,GO:0008092,participates,both
775,GO:0008092,participates,both
7429,GO:0008092,participates,both
10634,GO:0008092,participates,both
4646,GO:0008092,participates,both
9419,GO:0008092,participates,both
7454,GO:0008092,participates,both
285643,GO:0008092,participates,both
53827,GO:0008092,participates,both
3064,GO:0008092,participates,both
8481,GO:0008092,participates,both
7402,GO:0008092,participates,both
55835,GO:0008092,participates,both
81610,GO:0008092,participates,both
9275,GO:0008092,participates,both
23162,GO:0008092,participates,both
79784,GO:0008092,participates,both
22920,GO:0008092,participates,both
5347,GO:0008092,participates,both
29766,GO:0008092,participates,both
50861,GO:0008092,participates,both
56062,GO:0008092,participates,both
5775,GO:0008092,participates,both
4830,GO:0008092,participates,both
4645,GO:0008092,participates,both
50853,GO:0008092,participates,both
26092,GO:0008092,participates,both
23396,GO:0008092,participates,both
1956,GO:0008092,participates,both
7013,GO:0008092,participates,both
83473,GO:0008092,participates,both
11013,GO:0008092,participates,both
26249,GO:0008092,participates,both
5774,GO:0008092,participates,both
1861,GO:0008092,participates,both
9087,GO:0008092,participates,both
51168,GO:0008092,participates,both
288,GO:0008092,participates,both
6277,GO:0008092,participates,both
8507,GO:0008092,participates,both
64147,GO:0008092,participates,both
11004,GO:0008092,participates,both
1938,GO:0008092,participates,both
283431,GO:0008092,participates,both
6620,GO:0008092,participates,both
55201,GO:0008092,participates,both
2059,GO:0008092,participates,both
53904,GO:0008092,participates,both
10486,GO:0008092,participates,both
6285,GO:0008092,participates,both
